"ub","bs","sv"
59891,96485,228937
63897,103532,238897
61623,100854,231209
67366,119517,282795
61695,102192,235978
58284,94230,211890
65323,106066,246173
67433,113343,262709
57469,94163,214033
68247,106746,238828
56132,90333,202754
55016,91266,214261
57809,94246,221984
55776,89585,206109
58519,92707,215412
63471,101684,233035
63104,109457,262379
66903,109784,248224
67120,109506,247852
65845,110094,247564
61336,97292,208017
53474,89465,203541
57958,96494,219149
58613,96158,214095
57644,94587,214240
51576,86380,195067
47579,79363,180880
47622,79012,172609
49741,83140,185427
55616,90494,201205
55064,90662,204424
57296,95325,208659
51722,87799,193819
51806,84687,183331
53591,89306,204030
54824,89274,201007
53302,88408,200211
55721,89712,197448
57324,95689,212084
55060,89488,197638
51973,87784,195277
54531,89492,194499
52599,87391,192103
50710,87216,193191
55876,91489,195998
54906,90853,198208
52067,87106,194435
47982,81048,177321
55310,91245,199049
55192,91820,195504
59322,101923,221655
60989,116358,274655
53532,93622,204900
54597,93584,206509
55563,91967,198192
48972,83552,186747
49877,84926,179675
49874,81144,170178
47181,79078,174464
45509,77883,168065
51372,84710,175251
47999,81889,179490
