"ub","bs","sv"
83413,139705,485883
89567,148040,494022
86426,145043,494674
91526,161293,540417
87508,146680,484023
78591,130141,425259
88536,146120,484024
90443,152797,509396
80814,134160,445201
89091,142673,451568
79119,126700,401326
60453,101462,345360
72930,123151,428016
78275,126248,418759
81270,129579,425828
84998,137536,458882
83320,140412,474337
76547,125093,413155
81117,128563,411376
77886,128273,416767
77348,120311,378121
68095,110535,363405
74027,119752,392594
71880,114911,361951
74238,118681,380021
66588,108489,357159
59132,96107,315008
53779,88602,284415
51572,84790,273331
59280,97299,315894
64332,103934,335189
68560,113370,362017
60104,98249,312168
63752,101624,323914
66269,106555,356160
67284,106221,340113
61130,98614,327954
65766,103595,342557
66726,109219,360717
63454,99827,329417
58159,94999,309115
63087,100536,324471
63697,102340,326536
62247,102046,325469
65974,104597,332234
63673,102149,331500
62085,100710,335007
59671,96659,317710
63049,100626,328496
61110,99025,320531
57293,95154,305408
56735,99953,332837
62197,103100,331383
62525,102717,331357
61226,98436,313869
56756,91781,283813
56063,91065,283888
57433,90253,276574
54409,87912,290573
54502,88585,283971
52367,84944,270932
54363,88700,290255
54320,88370,285974
52561,85271,271771
54980,88081,281857
53323,85886,265957
41900,68974,218685
53214,87694,280609
54811,88372,282555
47478,75641,241339
55920,88323,283897
50210,82708,269983
47977,77823,258356
52762,84637,287390
52761,85761,276290
47768,77834,259685
50866,83736,277556
44498,72647,234691
42255,69220,233310
38920,64642,213769
37265,61276,199120
37859,62533,199586
45943,76760,254985
46827,76811,241817
49128,80459,266362
45578,72942,235587
46216,74706,238058
