"ub","bs","sv"
142874,222936,455316
149052,233688,475178
118856,195399,418290
163531,280149,612466
136372,221407,471353
120660,194311,401870
159122,245837,477504
129666,218044,475539
110324,185118,394273
121742,199943,429531
121139,194540,401379
102055,177005,374481
116567,190373,409181
114416,187321,399510
114219,187011,395637
124368,204978,454012
182934,295493,631402
127453,216737,474779
122297,208907,468659
135439,228550,508981
123254,202715,430610
123977,202032,430677
129504,213235,455745
123849,207387,445517
119701,200429,428577
122255,202678,426544
114023,188728,424122
119931,197539,424359
113051,192686,435187
119617,203386,475424
119154,205353,482380
123625,211489,462831
129714,218371,483539
136145,217890,469966
135173,219975,460272
125036,206715,441216
121570,203503,446398
120758,202572,448060
118760,202934,446072
124617,205606,426814
151418,244870,512696
124889,211229,458203
126058,212817,460891
136563,227523,480980
125923,208096,410134
120483,204286,434210
146565,237590,493189
129237,214943,444514
117670,202773,433836
128753,215954,461101
128981,231836,530061
135175,265676,621576
129679,224713,494131
142305,239179,509133
140343,230826,489139
134286,225680,500586
131010,218974,465780
119520,205264,449671
145095,237448,503727
125759,215853,482262
142760,239954,530947
149018,244128,511669
134711,228611,507228
150087,242445,499256
126222,214863,476194
118735,210271,482114
118391,212870,484407
137085,235787,515960
148850,248477,542290
135841,226972,489891
135799,232465,517837
133080,235874,533756
130095,228299,519735
133913,233981,529129
144247,247321,557636
131537,225594,494697
137909,235795,529098
112286,196426,444118
119986,203236,454631
120698,206607,463860
127594,217514,489221
120284,206525,480447
129699,228483,529830
134017,231214,534280
124262,219161,513241
123149,212571,484607
122024,207947,464360
