"ub","bs","sv"
39431,58478,144235
38757,56137,135302
20313,28449,70516
38079,59882,150436
36795,53330,130451
22236,32098,80875
48232,76903,185981
33516,50878,130796
30429,44317,108303
33269,47960,117042
26991,37967,92058
30116,41569,97397
35664,51901,121880
23592,33347,81390
28146,41370,103274
34309,53050,135909
48860,77782,198183
38853,60300,147289
28777,41034,101956
24869,35765,86494
23051,32900,80617
37426,58093,143588
17630,25129,67402
28268,43165,112108
25369,38954,99084
22845,31965,78182
17668,24578,62982
21670,28995,73735
24209,33357,83668
41528,63828,161828
30314,43298,109136
34533,50301,125643
21964,29740,74675
47965,74131,180894
33503,49738,124994
35523,55799,139324
26923,38620,94433
44641,70250,170464
35361,51400,126666
39924,60763,150288
32013,46510,112139
32027,45735,112907
30995,45705,112477
21364,29932,77107
31245,43237,105379
37317,59613,152485
36414,51344,137939
28923,43069,106509
30411,46157,113719
21741,30870,78751
32628,48641,116085
50183,81437,203756
27966,39256,96633
41993,65718,168863
32482,46904,113898
