"ub","bs","sv"
47615,71666,90045
44078,65497,81004
24319,34633,44156
44605,70354,91069
43989,64789,81769
28154,41196,54125
54978,87873,108475
40220,61635,81752
36090,52565,65280
38282,55738,69493
29833,42303,53367
33093,46002,55396
42721,62651,75169
27548,39405,49697
33256,48869,62430
39705,60977,80164
55344,87155,115035
42767,65170,81103
33904,47818,60553
29464,43167,53204
25961,37087,46373
43182,66857,83661
21517,30898,42459
32366,49037,64854
30171,46204,60108
24539,34535,43850
19813,27866,37631
22889,31199,41153
25601,35338,46195
42518,64764,85026
33121,47052,61908
37937,55011,71249
24211,32839,42845
51698,78791,98749
37871,56371,72499
39292,61375,78886
28365,40823,51617
50103,77331,96079
41779,60671,76596
44622,67998,85999
35802,51140,63169
34402,48446,61020
34545,50900,64253
23695,33441,44856
33735,47074,58790
40832,64902,84411
33598,48493,67002
32466,48130,61109
34083,51190,64745
24098,34554,46017
35297,52028,63722
49821,79845,103198
29363,41984,53910
49438,77837,104670
34398,50097,62977
