"ub","bs","sv"
18729,28420,64511
17880,28962,65025
15201,24328,55872
15885,27572,65827
15892,26099,63966
13119,22242,54172
16620,26699,65248
14913,25825,64644
13590,22833,56206
15983,25133,56467
14455,23959,58639
13281,22639,56763
15721,25577,61537
14682,24182,63740
14053,23376,59736
14364,24364,58118
15667,26394,66594
13654,23540,58195
16718,27128,62671
16320,27214,60290
15821,26080,62989
18083,28006,62562
19307,30178,70387
18640,31687,77241
16744,27055,63029
15528,25992,62669
17094,28962,71369
16449,29278,76318
14741,25757,61977
15158,25933,65134
14392,25094,62213
21093,33241,73751
14808,25514,60355
16757,27808,65538
17528,28397,68720
15847,26792,64822
15688,26529,66556
16100,26850,67506
16889,29117,70766
16619,28301,71368
15368,27316,74598
17723,29914,70280
18185,31183,77929
16183,28886,72451
14454,25924,58252
16112,27816,66271
15361,27065,65556
14945,26417,62688
16121,28124,67534
15677,27793,70225
17383,31060,75639
19662,38783,103373
20201,35017,87453
17197,31999,80643
20427,34300,78002
20236,34291,82227
17696,30752,69948
27246,41389,90470
25926,43520,103083
19454,33998,81652
23425,39597,91553
